"BARRIO","COMUNA","NUM_ACCIDENTES","HERIDOS","ATROPELLOS","RIESGO_NUMERICO","RIESGO"
"Los Conquistadores","Laureles Estadio",4090,1823,168,1,"Medio"
"Girardot","Castilla",994,707,97,2,"Bajo"
"Patio Bonito","El Poblado",1200,483,41,2,"Bajo"
"Villa Hermosa","Villa Hermosa",678,503,126,2,"Bajo"
"Los Angeles","La Candelaria",1331,813,122,2,"Bajo"
"Manrique Central No. 1","Aranjuez",1265,830,101,2,"Bajo"
"Oleoducto","Castilla",1173,719,52,2,"Bajo"
"Las Granjas","Manrique",1286,963,291,2,"Bajo"
"El Socorro","San Javier",79,60,24,2,"Bajo"
"San Benito","La Candelaria",3523,1559,404,1,"Medio"
"Cerro Nutibara","Belen",1182,626,50,2,"Bajo"
"La Florida","El Poblado",1055,347,46,2,"Bajo"
"Asomadera No. 2","Buenos Aires",615,225,12,2,"Bajo"
"San Bernardo","Belen",1269,761,123,2,"Bajo"
"Campo Amor","Guayabal",5120,2415,245,1,"Medio"
"Manrique Central No. 2","Manrique",793,577,103,2,"Bajo"
"Doce de Octubre No.1","Doce de Octubre",590,463,117,2,"Bajo"
"Las Palmas","La Candelaria",719,280,52,2,"Bajo"
"Universidad de Antioquia","Aranjuez",1067,609,49,2,"Bajo"
"Las Brisas","Castilla",1169,721,71,2,"Bajo"
"Palermo","Aranjuez",548,364,89,2,"Bajo"
"Caribe","Castilla",4847,2494,192,1,"Medio"
"Villa Nueva","La Candelaria",3710,1763,470,1,"Medio"
"El Diamante","Robledo",1129,833,146,2,"Bajo"
"Cristo Rey","Guayabal",2347,1204,164,1,"Medio"
"Sevilla","Aranjuez",1519,828,150,2,"Bajo"
"San Pedro","Aranjuez",1012,556,107,2,"Bajo"
"Las Esmeraldas","Aranjuez",290,224,54,2,"Bajo"
"Naranjal","Laureles Estadio",3233,1431,167,1,"Medio"
"Miranda","Aranjuez",1185,711,156,2,"Bajo"
"","Corregimiento de San Antonio de Prado",18625,11792,1444,3,"Alto"
"Cucaracho","Robledo",1083,785,69,2,"Bajo"
"Guayabal","Guayabal",2590,1240,142,1,"Medio"
"El Progreso No.2","Doce de Octubre",152,107,24,2,"Bajo"
"Moravia","Aranjuez",1364,843,218,2,"Bajo"
"Barrio de Jesus","Buenos Aires",412,282,69,2,"Bajo"
"Betania","San Javier",131,96,25,2,"Bajo"
"Hector Abad Gomez","Castilla",1250,752,62,2,"Bajo"
"San Diego","La Candelaria",3265,1292,160,1,"Medio"
"Las Playas","Belen",641,380,31,2,"Bajo"
"Prado","La Candelaria",2335,1362,183,1,"Medio"
"Santa Maria de Los Angeles","El Poblado",1137,474,36,2,"Bajo"
"Facultad de Minas U. Nacional","Robledo",1383,787,46,2,"Bajo"
"La Candelaria","La Candelaria",5882,2447,985,1,"Medio"
"Bolivariana","Laureles Estadio",850,401,51,2,"Bajo"
"Cabecera San Antonio de Prado","Corregimiento de San Antonio de Prado",3729,2148,470,1,"Medio"
"Centro Administrativo","La Candelaria",360,186,25,2,"Bajo"
"Perpetuo Socorro","La Candelaria",5080,2385,198,1,"Medio"
"El Poblado","El Poblado",1692,547,81,2,"Bajo"
"San Antonio","Villa Hermosa",36,32,9,2,"Bajo"
"Calle Nueva","La Candelaria",2020,750,138,1,"Medio"
"Las Acacias","Laureles Estadio",1652,721,76,2,"Bajo"
"Estacion Villa","La Candelaria",1652,824,243,2,"Bajo"
"Belalcazar","Castilla",723,394,40,2,"Bajo"
"Robledo","Robledo",1237,887,99,2,"Bajo"
"Laureles","Laureles Estadio",1731,805,70,2,"Bajo"
"San Miguel","Villa Hermosa",974,683,81,2,"Bajo"
"Los Mangos","Villa Hermosa",620,446,126,2,"Bajo"
"Nueva Villa de Aburra","Belen",224,112,18,2,"Bajo"
"San Javier No.1","San Javier",806,552,104,2,"Bajo"
"El Progreso","Castilla",1998,1010,111,1,"Medio"
"Granizal","Popular",374,230,97,2,"Bajo"
"Francisco Antonio Zea","Castilla",620,420,82,2,"Bajo"
"Calasanz","La America",875,432,41,2,"Bajo"
"San Isidro","Aranjuez",1226,881,177,2,"Bajo"
"Guayaquil","La Candelaria",3503,1424,346,1,"Medio"
"Las Estancias","Villa Hermosa",340,266,78,2,"Bajo"
"Boston","La Candelaria",2750,1457,273,1,"Medio"
"Rosales","Belen",1752,936,87,1,"Medio"
"Suburbano El Plan","Corregimiento de Santa Elena",22,18,4,2,"Bajo"
"Las Lomas No.2","El Poblado",400,167,8,2,"Bajo"
"Los Pinos","La America",1137,577,83,2,"Bajo"
"","Guayabal",18625,15,2,3,"Alto"
"Barrio Colon","La Candelaria",4476,1780,385,1,"Medio"
"Diego Echavarria","Belen",484,247,17,2,"Bajo"
"Campo Valdes No. 1","Aranjuez",1502,1125,233,2,"Bajo"
"Universidad Nacional","Robledo",2001,1039,93,1,"Medio"
"Belen","Belen",2954,1243,212,1,"Medio"
"Trinidad","Guayabal",1273,737,168,2,"Bajo"
"Castropol","El Poblado",1391,620,66,2,"Bajo"
"Santa Ines","Manrique",650,467,121,2,"Bajo"
"","Castilla",18625,16,1,3,"Alto"
"El Salvador","Buenos Aires",697,443,77,2,"Bajo"
"El Velodromo","Laureles Estadio",809,428,46,2,"Bajo"
"Picacho","Doce de Octubre",899,699,155,2,"Bajo"
"","El Poblado",18625,17,0,3,"Alto"
"Manila","El Poblado",2187,762,66,1,"Medio"
"Las Violetas","Belen",395,249,66,2,"Bajo"
"La Palma","Belen",648,353,65,2,"Bajo"
"El Chagualo","La Candelaria",2182,1124,192,1,"Medio"
"Terminal de Transporte","Castilla",3183,1508,173,1,"Medio"
"Florencia","Castilla",404,269,46,2,"Bajo"
"Kennedy","Doce de Octubre",1041,734,214,2,"Bajo"
"Bombona No. 1","La Candelaria",1369,619,84,2,"Bajo"
"Altavista","Belen",370,223,61,2,"Bajo"
"Moscu No. 2","Popular",401,303,105,2,"Bajo"
"La Mota","Belen",555,325,27,2,"Bajo"
"El Estadio","Laureles Estadio",1143,635,111,2,"Bajo"
"Toscana","Castilla",1267,719,81,2,"Bajo"
"Santa Fe","Guayabal",3969,2177,229,1,"Medio"
"Miraflores","Buenos Aires",708,459,56,2,"Bajo"
"La America","La America",1424,739,140,2,"Bajo"
"La Aguacatala","El Poblado",2334,958,54,1,"Medio"
"El Pesebre","San Javier",257,172,34,2,"Bajo"
"Area de Expansion Altos de Calasanz","Corregimiento de San Cristobal",120,61,9,2,"Bajo"
"El Raizal","Manrique",622,464,107,2,"Bajo"
"Villa Carlota","El Poblado",2620,1061,90,1,"Medio"
"Aures No. 2","Robledo",720,567,88,2,"Bajo"
"La Alpujarra","La Candelaria",2749,1051,89,1,"Medio"
"Trece de Noviembre","Villa Hermosa",95,49,28,2,"Bajo"
"Fatima","Belen",1266,674,58,2,"Bajo"
"Santa Cruz","Santa Cruz",386,288,90,2,"Bajo"
"Lorena","Laureles Estadio",1001,491,90,2,"Bajo"
"Carlos E. Restrepo","Laureles Estadio",3336,1534,155,1,"Medio"
"Los Balsos No.2","El Poblado",920,233,30,2,"Bajo"
"San Pablo","Popular",398,294,96,2,"Bajo"
"Alejandro Echavarria","Buenos Aires",1032,722,108,2,"Bajo"
"Loma de los Bernal","Belen",450,222,27,2,"Bajo"
"Gerona","Buenos Aires",552,382,79,2,"Bajo"
"La Pilarica","Robledo",736,412,43,2,"Bajo"
"Corazon de Jesus","La Candelaria",2715,1087,214,1,"Medio"
"San Jose la Cima No. 1","Manrique",40,34,14,2,"Bajo"
"La Floresta","La America",843,501,81,2,"Bajo"
"Bello Horizonte","Robledo",365,245,58,2,"Bajo"
"Buenos Aires","Buenos Aires",1180,722,95,2,"Bajo"
"Manrique Oriental","Manrique",1051,754,160,2,"Bajo"
"Lalinde","El Poblado",186,73,4,2,"Bajo"
"Brasilia","Aranjuez",638,460,90,2,"Bajo"
"La Libertad","Villa Hermosa",429,282,78,2,"Bajo"
"San Joaquin","Laureles Estadio",655,301,39,2,"Bajo"
"Villatina","Villa Hermosa",588,438,118,2,"Bajo"
"La Loma de Los Bernal","Belen",36,13,1,2,"Bajo"
"El Pinal","Villa Hermosa",619,411,117,2,"Bajo"
"Tricentenario","Castilla",1120,634,55,2,"Bajo"
"Pedregal","Doce de Octubre",1041,825,187,2,"Bajo"
"Los Colores","Laureles Estadio",2783,1694,202,1,"Medio"
"Castilla","Castilla",2896,2177,350,1,"Medio"
"Villa Flora","Robledo",988,646,57,2,"Bajo"
"Moscu No. 1","Santa Cruz",396,268,79,2,"Bajo"
"Santa Monica","La America",430,280,23,2,"Bajo"
"La Gloria","Belen",1117,634,50,2,"Bajo"
"Nueva Villa de la Iguana","Robledo",558,330,31,2,"Bajo"
"Las Lomas No.1","El Poblado",659,248,18,2,"Bajo"
"Barrio Cristobal","La America",167,93,11,2,"Bajo"
"Campo Alegre","La America",656,463,70,2,"Bajo"
"La Mansion","Villa Hermosa",376,249,41,2,"Bajo"
"Tejelo","Castilla",855,639,133,2,"Bajo"
"La Colina","Guayabal",697,388,62,2,"Bajo"
"Berlin","Aranjuez",1028,702,193,2,"Bajo"
"El Rodeo","Guayabal",207,128,22,2,"Bajo"
"Suramericana","Laureles Estadio",1876,836,92,1,"Medio"
"Los Alcazares","San Javier",521,326,53,2,"Bajo"
"San German","Robledo",1043,558,89,2,"Bajo"
"Altamira","Robledo",777,476,49,2,"Bajo"
"Olaya Herrera","Robledo",247,178,55,2,"Bajo"
"Parque Juan Pablo II","Guayabal",1011,587,42,2,"Bajo"
"Playon de Los Comuneros","Santa Cruz",393,257,72,2,"Bajo"
"Bermejal-Los Alamos","Aranjuez",255,184,58,2,"Bajo"
"Tenche","Guayabal",1130,551,48,2,"Bajo"
"El Danubio","La America",431,282,32,2,"Bajo"
"Nuevos Conquistadores","San Javier",96,73,26,2,"Bajo"
"Inst","La Candelaria",188,54,7,2,"Bajo"
"Manrique Central No.1","Aranjuez",32,20,3,2,"Bajo"
"Palenque","Robledo",335,199,28,2,"Bajo"
"Blanquizal","San Javier",86,58,19,2,"Bajo"
"Carpinelo","Popular",152,122,50,2,"Bajo"
"B. Cerro  El Volador","Robledo",219,139,32,2,"Bajo"
"U.D. Atanasio Girardot","Laureles Estadio",333,184,39,2,"Bajo"
"Enciso","Villa Hermosa",732,537,101,2,"Bajo"
"Cabecera Urbana San Cristobal","Corregimiento de San Cristobal",681,476,117,2,"Bajo"
"San Martin de Porres","Doce de Octubre",731,545,119,2,"Bajo"
"Parque Norte","Aranjuez",223,116,27,2,"Bajo"
"Doce de Octubre No.2","Doce de Octubre",712,556,127,2,"Bajo"
"El Pomar","Manrique",424,321,75,2,"Bajo"
"Campo Valdes No.2","Manrique",72,61,17,2,"Bajo"
"La Cruz","Manrique",138,102,39,2,"Bajo"
"El Rincon","Belen",1068,652,100,2,"Bajo"
"Barrio Colombia","El Poblado",1280,558,57,2,"Bajo"
"La Pradera","San Javier",427,317,66,2,"Bajo"
"Suburbano Mirador del Poblado","Corregimiento de Santa Elena",85,52,2,2,"Bajo"
"La Pinuela","Aranjuez",418,312,57,2,"Bajo"
"Jesus Nazareno","La Candelaria",2182,1199,183,1,"Medio"
"Santa Teresita","La America",353,187,23,2,"Bajo"
"Veinte de Julio","San Javier",397,310,84,2,"Bajo"
"Florida Nueva","Laureles Estadio",982,509,110,2,"Bajo"
"Sucre","Villa Hermosa",768,534,71,2,"Bajo"
"La Salle","Manrique",648,489,172,2,"Bajo"
"Barrio Caicedo","Buenos Aires",1056,675,118,2,"Bajo"
"La Avanzada","Popular",215,165,64,2,"Bajo"
"Suburbano La Loma","Corregimiento de San Cristobal",280,188,31,2,"Bajo"
"La Francia","Santa Cruz",364,240,77,2,"Bajo"
"Calasanz Parte Alta","La America",520,282,24,2,"Bajo"
"El Tesoro","El Poblado",777,308,23,2,"Bajo"
"Boyaca","Castilla",735,476,67,2,"Bajo"
"La Rosa","Santa Cruz",290,221,70,2,"Bajo"
"Campo Valdes No. 2","Manrique",1039,851,218,2,"Bajo"
"Simon Bolivar","La America",543,292,28,2,"Bajo"
"Aguas frias","Corregimiento de Altavista",51,38,13,2,"Bajo"
"Cuarta Brigada","Laureles Estadio",1387,720,116,2,"Bajo"
"Cordoba","Robledo",629,422,60,2,"Bajo"
"Alfonso Lopez","Castilla",1162,816,148,2,"Bajo"
"Versalles No. 1","Manrique",613,440,147,2,"Bajo"
"El Diamante No. 2","El Poblado",342,111,7,2,"Bajo"
"Asomadera No. 1","Buenos Aires",867,401,26,2,"Bajo"
"Ocho de Marzo","Buenos Aires",65,47,12,2,"Bajo"
"Andalucia","Santa Cruz",265,187,69,2,"Bajo"
"Jardin Botanico","Aranjuez",225,116,20,2,"Bajo"
"Bosques de San Pablo","Robledo",357,180,21,2,"Bajo"
"0","Corregimiento de San Antonio de Prado",1045,703,65,2,"Bajo"
"El Corazon El Morro","Corregimiento de Altavista",17,12,4,2,"Bajo"
"El Compromiso","Popular",161,119,47,2,"Bajo"
"Popular","Popular",533,381,138,2,"Bajo"
"Las Mercedes","Belen",385,227,34,2,"Bajo"
"Santander","Doce de Octubre",700,552,149,2,"Bajo"
"Area de Expansion Pajarito","Corregimiento de San Cristobal",1024,784,120,2,"Bajo"
"Los Alpes","Belen",516,315,47,2,"Bajo"
"Alejandria","El Poblado",631,198,18,2,"Bajo"
"El Castillo","El Poblado",467,168,15,2,"Bajo"
"San Javier No.2","San Javier",314,195,69,2,"Bajo"
"La Milagrosa","Buenos Aires",598,377,75,2,"Bajo"
"La Esperanza","Doce de Octubre",785,623,167,2,"Bajo"
"Ferrini","La America",319,168,26,2,"Bajo"
"Villa Turbay","Villa Hermosa",54,45,11,2,"Bajo"
"Miravalle","Belen",104,53,8,2,"Bajo"
"La Isla","Santa Cruz",226,167,77,2,"Bajo"
"La Castellana","Laureles Estadio",860,417,59,2,"Bajo"
"Aures No.1","Robledo",579,456,81,2,"Bajo"
"El Vergel","Corregimiento de San Antonio de Prado",6,5,0,2,"Bajo"
"La Frontera","Santa Cruz",250,167,52,2,"Bajo"
"Lopez de Mesa","Robledo",1013,763,94,2,"Bajo"
"Cataluna","Buenos Aires",315,172,25,2,"Bajo"
"La Esperanza No. 2","Popular",193,155,63,2,"Bajo"
"Villa Niza","Santa Cruz",225,148,41,2,"Bajo"
"Juan XXIII La Quiebra","San Javier",178,125,40,2,"Bajo"
"Los Balsos No.1","El Poblado",474,159,6,2,"Bajo"
"Loreto","Buenos Aires",879,588,145,2,"Bajo"
"La Verde","Corregimiento de San Antonio de Prado",116,44,3,2,"Bajo"
"San Lucas","El Poblado",325,75,10,2,"Bajo"
"Suburbano Palma Patio","Corregimiento de San Cristobal",33,17,2,2,"Bajo"
"Cementerio Universal","Castilla",251,120,7,2,"Bajo"
"Astorga","El Poblado",323,113,11,2,"Bajo"
"Los Naranjos","El Poblado",748,238,21,2,"Bajo"
"San Jose la Cima No.2","Manrique",22,21,4,2,"Bajo"
"Santo Domingo Savio No. 1","Popular",568,446,190,2,"Bajo"
"Villa Guadalupe","Popular",462,350,107,2,"Bajo"
"Juan Pablo II","Buenos Aires",45,38,14,2,"Bajo"
"Las Independencias","San Javier",84,73,38,2,"Bajo"
"La Ladera","Villa Hermosa",79,50,7,2,"Bajo"
"Bombona No. 2","Buenos Aires",431,265,48,2,"Bajo"
"Granada","Belen",536,260,55,2,"Bajo"
"Picachito","Doce de Octubre",103,84,17,2,"Bajo"
"Altos del Poblado","El Poblado",301,151,14,2,"Bajo"
"Belencito","San Javier",180,132,23,2,"Bajo"
"Villa del Socorro","Santa Cruz",509,340,104,2,"Bajo"
"U.P.B.","Laureles Estadio",142,51,5,2,"Bajo"
"Santa Lucia","La America",294,184,45,2,"Bajo"
"Santo Domingo Savio No. 2","Popular",154,120,53,2,"Bajo"
"El Salado","San Javier",203,146,34,2,"Bajo"
"El Nogal-Los Almendros","Belen",469,212,23,2,"Bajo"
"Pajarito","Robledo",196,137,11,2,"Bajo"
"Santa Margarita","Robledo",385,289,38,2,"Bajo"
"La Hondonada","Belen",231,125,11,2,"Bajo"
"Antonio Narino","San Javier",269,206,38,2,"Bajo"
"Oriente","Manrique",103,87,31,2,"Bajo"
"Altavista Sector Central","Corregimiento de Altavista",215,175,39,2,"Bajo"
"","Buenos Aires",18625,24,1,3,"Alto"
"Aranjuez","Aranjuez",449,323,67,2,"Bajo"
"El Corazon","San Javier",141,103,28,2,"Bajo"
"Fuente Clara","Robledo",167,139,18,2,"Bajo"
"La Oculta","Corregimiento de San Antonio de Prado",39,28,5,2,"Bajo"
"Suburbano el Tesoro","Corregimiento de Santa Elena",21,11,2,2,"Bajo"
"Aguas Frias","Corregimiento de Altavista",32,24,5,2,"Bajo"
"Bombona No.1","La Candelaria",60,38,6,2,"Bajo"
"Los Cerros El Vergel","Buenos Aires",248,162,35,2,"Bajo"
"Pablo VI","Santa Cruz",109,76,38,2,"Bajo"
"Versalles No. 2","Manrique",81,52,19,2,"Bajo"
"El Triunfo","Doce de Octubre",66,53,17,2,"Bajo"
"Villa Liliam","Villa Hermosa",152,116,44,2,"Bajo"
"Buga Patio Bonito","Corregimiento de Altavista",50,32,4,2,"Bajo"
"Las Palmas","Corregimiento de Santa Elena",719,130,9,2,"Bajo"
"Maria Cano Carambolas","Manrique",75,56,33,2,"Bajo"
"El Picacho","Corregimiento de San Cristobal",26,20,6,2,"Bajo"
"Versalles No.1","Manrique",8,2,1,2,"Bajo"
"Hospital San Vicente de Paul","La Candelaria",156,80,13,2,"Bajo"
"La Loma Oriental","Corregimiento de San Cristobal",69,50,7,2,"Bajo"
"Pedregal Alto","Corregimiento de San Cristobal",62,48,2,2,"Bajo"
"Asomadera No. 3","Buenos Aires",132,59,2,2,"Bajo"
"Monteclaro","Robledo",127,98,15,2,"Bajo"
"Suburbano Travesias","Corregimiento de San Cristobal",95,72,19,2,"Bajo"
"Santa Rosa de Lima","San Javier",29,20,5,2,"Bajo"
"Inst","Laureles Estadio",188,41,10,2,"Bajo"
"Suburbano Pedregal alto","Corregimiento de San Cristobal",28,26,2,2,"Bajo"
"Pedregal Bajo","Corregimiento de San Cristobal",70,58,3,2,"Bajo"
"Llanaditas","Villa Hermosa",88,66,33,2,"Bajo"
"San Pablo","Corregimiento de Altavista",398,15,3,2,"Bajo"
"Area de Expansion San Antonio de Prado","Corregimiento de San Antonio de Prado",81,59,11,2,"Bajo"
"Eduardo Santos","San Javier",51,36,5,2,"Bajo"
"La Florida","Corregimiento de San Antonio de Prado",1055,10,0,2,"Bajo"
"Inst","Guayabal",188,1,1,2,"Bajo"
"Piedras Blancas","Corregimiento de Santa Elena",122,94,40,2,"Bajo"
"Aldea Pablo VI","Popular",83,65,24,2,"Bajo"
"Plaza de Ferias","Castilla",139,85,8,2,"Bajo"
"Facultad Veterinaria y Zootecnia U.de.A.","Robledo",162,96,13,2,"Bajo"
"Piedras Blancas Represa","Corregimiento de Santa Elena",4,2,0,2,"Bajo"
"Batallon Girardot","Villa Hermosa",12,10,6,2,"Bajo"
"La Loma","Corregimiento de San Cristobal",17,11,3,2,"Bajo"
"Manrique Central No.2","Manrique",31,23,3,2,"Bajo"
"Mirador del Doce","Doce de Octubre",43,39,11,2,"Bajo"
